Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Digikey~String~Digikey~100|Field=Digikey Link~String~Digikey Link~100|Field=MF~String~MF~100|Field=MP~String~MP~100|Field=Package~String~Package~100|Field=Price~String~Price~100|Field=Rating~String~Rating~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~motordriver-v2.0.PrjPCB|ReportField=ProjectFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PrjPCB|ReportField=Title~Bill of Materials For Project [motordriver-v2.0.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~2:43:17 PM|ReportField=ReportDate~2020-03-08|ReportField=ReportDateTime~2020-03-08 2:43:17 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~53|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-03-08|ReportField=CurrentTime~2:40:09 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.SchDoc|ReportField=DocumentName~motordriver-v2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-02-18|ReportField=Organization~|ReportField=ProjectName~motordriver-v2.0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~motordriver-v2.0.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PrjPCB|ReportField=PCBDataSourceFileName~motordriver-v2.0.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
13|0 Ohm|RES SMD 0 OHM JUMPER 1/8W 0805|R1, R2, R3, R4, R5, R6, R19|RES 0 Ohm 0805|7|311-0.0ARCT-ND|https://www.digikey.ca/products/en?keywords=311-0.0ARCT-ND|Yageo|RC0805JR-070RL|0805|0.058 CAD|0.125W|0
14|20mOhm|RES 0.02 OHM 1% 1/2W 0805|R7|RES 20mOhm 0805|1|P.02AQCT-ND|https://www.digikey.ca/products/en?keywords=P.02AQCT-ND|Panasonic Electronic Components|ERJ-6BWFR020V|0805|0.088 CAD|0.5W|20mOhm
15|100k|RES SMD 100K OHM 1% 1/8W 0805|R8|RES 100k 0805|1|311-100KCRCT-ND|https://www.digikey.ca/products/en?keywords=311-100KCRCT-ND|Yageo|RC0805FR-07100KL|0805|0.058 CAD|0.125W|100k
16|150k|RES SMD 150K OHM 1% 1/8W 0805|R9|RES 150k 0805|1|311-150KCRCT-ND|https://www.digikey.ca/products/en?keywords=311-150KCRCT-ND|Yageo|RC0805FR-07150KL|0805|0.061 CAD|0.125W|150k
17|10k|RES SMD 10K OHM 1% 1/8W 0805|R10|RES 10k 0805|1|311-10.0KCRCT-ND|https://www.digikey.ca/products/en?keywords=311-10.0KCRCT-ND|Yageo|RC0805FR-0710KL|0805|0.061 CAD|0.125W|10k
18|5.1k|RES SMD 5.1K OHM 1% 1/8W 0805|R11, R13, R14|RES 5.1k 0805|3|311-5.10KCRDKR-ND|https://www.digikey.ca/products/en?keywords=311-5.10KCRDKR-ND|Yageo|RC0805FR-075K1L|0805|0.061 CAD|0.125W|5.1k
19|47k|47 kOhms ±1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Moisture Resistant Thick Film|R12|RC0805FR-072K2L|1|311-47.0KCRCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0747KL/311-47.0KCRCT-ND/730920|Yageo|RC0805FR-0747KL|0805 (2012 Metric)|0.061 CAD||47k
20|1.96K|RES SMD 1.96K OHM 1% 1/8W 0805|R20|RES 1.96k 0805|1|P1.96KCCT-ND|https://www.digikey.ca/product-detail/en/panasonic-electronic-components/ERJ-6ENF1961V/P1.96KCCT-ND/119041|Panasonic Electronic Components|ERJ-6ENF1961V|0805|0.15 CAD|0.125W|1.96k
21|270|RES SMD 270 OHM 5% 1/8W 0805|R21|RES 270 0805|1|311-270ARCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805JR-07270RL/311-270ARCT-ND/731238|Yageo|RC0805JR-07270RL|0805|0.054 CAD|0.125W|270
22|110|RES SMD 110 OHM 1% 1/8W 0805|R22|RES 110 0805|1|311-110CRCT-ND|https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07110RL/311-110CRCT-ND/730506|Yageo|RC0805FR-07110RL|0805|0.15 CAD|0.125W|110
23|A3931|IC MOTOR DRIVER 5.5V-50V 48LQFP|U1|MotorDriver A3931|1|620-1290-1-ND|https://www.digikey.com/product-detail/en/allegro-microsystems-llc/A3931KJPTR-T/620-1290-1-ND/2000021|Allegro MicroSystems|A3931KJPTR-T||8.948 CAD|5.5V ~ 50V|
24|Encoder|CONN HEADER R/A 4POS 1.5MM|U2|Encoder Connector|1|455-1671-ND|https://www.digikey.ca/products/en?keywords=455-1671-ND|JST Sales America Inc.|S4B-ZR(LF)(SN)|N/A|0.324 CAD|1A|N/A
25|EMI|RC (Pi) EMI Filter 2nd Order Low Pass 2 Channel R = 100Ohms, C = 19pF (Total)  SOT-665|U4, U6, U7, U8, U9, U10, U11|IP4256CZ5-W|7|1727-4718-1-ND|https://www.digikey.ca/product-detail/en/nexperia-usa-inc/IP4256CZ5-W115/1727-4718-1-ND/2531158|Nexperia USA Inc.|IP4256CZ5-W,115|SOT-665|0.17 CAD||
